Source,Target
JudgeDread-BigSeven,DoloresO'Riordan-AveMaria
JudgeDread-BigSeven,Wu-TangClan-DuckSeazon
JudgeDread-BigSeven,CellaDwellas-MedinaStyle
JudgeDread-BigSeven,HarryGregson-Williams-ANarniaLullaby
JudgeDread-BigSeven,Flobots-Combat
JudgeDread-BigSeven,AntiPopConsortium-FluorescentBlack
JudgeDread-BigSeven,Doom-Ballskin
JudgeDread-BigSeven,SisterRosettaTharpe-DownByTheRiverside
JudgeDread-BigSeven,MastaAce-Acknowledge
JudgeDread-BigSeven,RootsManuva-EvilRabbit
JudgeDread-BigSeven,MarilynManson-TheSuckForYourSolution
JudgeDread-BigSeven,DavidByrne-Inexorable
JudgeDread-BigSeven,SkylarGrey-Invisible
WillieWilliams-ArmagideonTime,KrisKristofferson-WhyMe
WillieWilliams-ArmagideonTime,GramParsons-CryOneMoreTime
WillieWilliams-ArmagideonTime,HankWilliams-MySweetLoveAin'tAround
WillieWilliams-ArmagideonTime,CharlieRich-LifeHasItsLittleUpsAndDowns
WillieWilliams-ArmagideonTime,SteveEarle-FearlessHeart
WillieWilliams-ArmagideonTime,JohnGorka-WhereTheBottlesBreak
WillieWilliams-ArmagideonTime,MerleHaggard-It'sNotLove(ButIt'sNotBad)
WillieWilliams-ArmagideonTime,TheHouseOfLove-Ray
WillieWilliams-ArmagideonTime,JuniorKelly-StandingFirm
WillieWilliams-ArmagideonTime,MethodMan-PerfectWorld
WillieWilliams-ArmagideonTime,NovembersDoom-Awaken
WillieWilliams-ArmagideonTime,Ol'DirtyBastard-Gettin'High
WillieWilliams-ArmagideonTime,TheDivineComedy-ThereIsALightThatNeverGoesOut
WillieWilliams-ArmagideonTime,GillianWelch-RockOfAges
WillieWilliams-ArmagideonTime,Everlast-SoLong
WillieWilliams-ArmagideonTime,RayPrice-HeartachesByTheNumber
WillieWilliams-ArmagideonTime,TheBlindBoysOfAlabama-RunOnForALongTime
WillieWilliams-ArmagideonTime,JohnCale-GhostStory
WillieWilliams-ArmagideonTime,TheLangleySchoolsMusicProject-GodOnlyKnows
WillieWilliams-ArmagideonTime,PattyLoveless-RiseUpLazarus
WillieWilliams-ArmagideonTime,SisterRosettaTharpe-That'sAll
WillieWilliams-ArmagideonTime,Hooverphonic-TheLastSupper
WillieWilliams-ArmagideonTime,DaynaKurtz-FredAstaire
WillieWilliams-ArmagideonTime,UncleTupelo-WhiskeyBottle
WillieWilliams-ArmagideonTime,MississippiFredMcDowell-61Highway
WillieWilliams-ArmagideonTime,GillianWelch-OneMonkey
WillieWilliams-ArmagideonTime,HowardShore-CirithUngol
WillieWilliams-ArmagideonTime,LorettaLynn-Women'sPrison
WillieWilliams-ArmagideonTime,JorgeBen-CassiusMarcellusClay
WillieWilliams-ArmagideonTime,TommyMcCook-TheSaint
WillieWilliams-ArmagideonTime,ShannonNoll-NewBeginning
WillieWilliams-ArmagideonTime,BuffySainte-Marie-EyesOfAmber
WillieWilliams-ArmagideonTime,NickelCreek-BestOfLuck
WillieWilliams-ArmagideonTime,Eminem-Stan
WillieWilliams-ArmagideonTime,PorterWagoner-TheRubberRoom
WillieWilliams-ArmagideonTime,BenHarper-MoreThanSorry
WillieWilliams-ArmagideonTime,ArthurRussell-HomeAwayFromHome
WillieWilliams-ArmagideonTime,TheOnlyOnes-SomeoneWhoCares
WillieWilliams-ArmagideonTime,RascalFlatts-Holes
WillieWilliams-ArmagideonTime,Goldspot-TimeBomb
WillieWilliams-ArmagideonTime,AnimalCollective-College
WillieWilliams-ArmagideonTime,MobbDeep-TheStartOfYourEnding(41stSide)
WillieWilliams-ArmagideonTime,LeAnnRimes-WhatICannotChange
WillieWilliams-ArmagideonTime,StephenSondheim-OpeningTitle
WillieWilliams-ArmagideonTime,TheEverybodyfields-LonelyAnywhere
WillieWilliams-ArmagideonTime,TheEverybodyfields-BeMiner
WillieWilliams-ArmagideonTime,ThePriests-PanisAngelicus
WillieWilliams-ArmagideonTime,BlindLemonJefferson-SeeThatMyGraveIsKeptClean
WillieWilliams-ArmagideonTime,SisterRosettaTharpe-RockMe
WillieWilliams-ArmagideonTime,JohnBarry-TheDeathOfTimmons
WillieWilliams-ArmagideonTime,ThePriests-Benedictus
WillieWilliams-ArmagideonTime,HoratioLeeJenkins-DrunkerThanSatan
WillieWilliams-ArmagideonTime,Afi-SilverAndCold
WillieWilliams-ArmagideonTime,LosLobos-PhoneCall
WillieWilliams-ArmagideonTime,StoryOne-ComingUp
WillieWilliams-ArmagideonTime,IanGillan-Gethsemane(IOnlyWantToSay)
WillieWilliams-ArmagideonTime,LilyHolbrook-WelcomeToTheSlaughterhouse
WillieWilliams-ArmagideonTime,Shinedown-WhatAShame
WillieWilliams-ArmagideonTime,Innerpartysystem-WhatWeWillNeverKnow
WillieWilliams-ArmagideonTime,SageFrancis-TheBestOfTimes
WillieWilliams-ArmagideonTime,KarlJenkins-Charge!
WillieWilliams-ArmagideonTime,Leadbelly-WhereDidYouSleepLastNight?
WillieWilliams-ArmagideonTime,Jazztronik-Phoenix
WillieWilliams-ArmagideonTime,MattElliott-TheDogBeneathTheSkin
WillieWilliams-ArmagideonTime,Tyler-TheCreator
WillieWilliams-ArmagideonTime,ArcticMonkeys-TheHellcatSpangledShalalala
WillieWilliams-ArmagideonTime,ThirdDay-MountainOfGod
WillieWilliams-ArmagideonTime,MatthewWest-TheMotions
WillieWilliams-ArmagideonTime,AngeloBadalamenti-MulhollandDrive
WillieWilliams-ArmagideonTime,AngeloBadalamenti-Diner
WillieWilliams-ArmagideonTime,JunkieXL-EvenInThisMoment
WillieWilliams-ArmagideonTime,DoloresO'Riordan-AveMaria
WillieWilliams-ArmagideonTime,Wu-TangClan-DuckSeazon
WillieWilliams-ArmagideonTime,HarryGregson-Williams-ANarniaLullaby
WillieWilliams-ArmagideonTime,AntiPopConsortium-FluorescentBlack
WillieWilliams-ArmagideonTime,SisterRosettaTharpe-DownByTheRiverside
WillieWilliams-ArmagideonTime,RootsManuva-EvilRabbit
WillieWilliams-ArmagideonTime,DavidByrne-Inexorable
WillieWilliams-ArmagideonTime,SkylarGrey-Invisible
KrisKristofferson-WhyMe,GramParsons-CryOneMoreTime
KrisKristofferson-WhyMe,CharlieRich-LifeHasItsLittleUpsAndDowns
KrisKristofferson-WhyMe,SteveEarle-FearlessHeart
KrisKristofferson-WhyMe,JohnGorka-WhereTheBottlesBreak
KrisKristofferson-WhyMe,MerleHaggard-It'sNotLove(ButIt'sNotBad)
KrisKristofferson-WhyMe,TheHouseOfLove-Ray
KrisKristofferson-WhyMe,JuniorKelly-StandingFirm
KrisKristofferson-WhyMe,MethodMan-PerfectWorld
KrisKristofferson-WhyMe,NovembersDoom-Awaken
KrisKristofferson-WhyMe,Ol'DirtyBastard-Gettin'High
KrisKristofferson-WhyMe,TheDivineComedy-ThereIsALightThatNeverGoesOut
KrisKristofferson-WhyMe,GillianWelch-RockOfAges
KrisKristofferson-WhyMe,Everlast-SoLong
KrisKristofferson-WhyMe,RayPrice-HeartachesByTheNumber
KrisKristofferson-WhyMe,TheBlindBoysOfAlabama-RunOnForALongTime
KrisKristofferson-WhyMe,JohnCale-GhostStory
KrisKristofferson-WhyMe,TheLangleySchoolsMusicProject-GodOnlyKnows
KrisKristofferson-WhyMe,PattyLoveless-RiseUpLazarus
KrisKristofferson-WhyMe,SisterRosettaTharpe-That'sAll
KrisKristofferson-WhyMe,Hooverphonic-TheLastSupper
KrisKristofferson-WhyMe,DaynaKurtz-FredAstaire
KrisKristofferson-WhyMe,UncleTupelo-WhiskeyBottle
KrisKristofferson-WhyMe,GillianWelch-OneMonkey
KrisKristofferson-WhyMe,HowardShore-CirithUngol
KrisKristofferson-WhyMe,LorettaLynn-Women'sPrison
KrisKristofferson-WhyMe,TommyMcCook-TheSaint
KrisKristofferson-WhyMe,ShannonNoll-NewBeginning
KrisKristofferson-WhyMe,NickelCreek-BestOfLuck
KrisKristofferson-WhyMe,Eminem-Stan
KrisKristofferson-WhyMe,PorterWagoner-TheRubberRoom
KrisKristofferson-WhyMe,BenHarper-MoreThanSorry
KrisKristofferson-WhyMe,ArthurRussell-HomeAwayFromHome
KrisKristofferson-WhyMe,TheOnlyOnes-SomeoneWhoCares
KrisKristofferson-WhyMe,RascalFlatts-Holes
KrisKristofferson-WhyMe,Goldspot-TimeBomb
KrisKristofferson-WhyMe,AnimalCollective-College
KrisKristofferson-WhyMe,MobbDeep-TheStartOfYourEnding(41stSide)
KrisKristofferson-WhyMe,LeAnnRimes-WhatICannotChange
KrisKristofferson-WhyMe,StephenSondheim-OpeningTitle
KrisKristofferson-WhyMe,TheEverybodyfields-LonelyAnywhere
KrisKristofferson-WhyMe,TheEverybodyfields-BeMiner
KrisKristofferson-WhyMe,ThePriests-PanisAngelicus
KrisKristofferson-WhyMe,BlindLemonJefferson-SeeThatMyGraveIsKeptClean
KrisKristofferson-WhyMe,SisterRosettaTharpe-RockMe
KrisKristofferson-WhyMe,ThePriests-Benedictus
KrisKristofferson-WhyMe,HoratioLeeJenkins-DrunkerThanSatan
KrisKristofferson-WhyMe,Afi-SilverAndCold
KrisKristofferson-WhyMe,LosLobos-PhoneCall
KrisKristofferson-WhyMe,StoryOne-ComingUp
KrisKristofferson-WhyMe,IanGillan-Gethsemane(IOnlyWantToSay)
KrisKristofferson-WhyMe,LilyHolbrook-WelcomeToTheSlaughterhouse
KrisKristofferson-WhyMe,Innerpartysystem-WhatWeWillNeverKnow
KrisKristofferson-WhyMe,SageFrancis-TheBestOfTimes
KrisKristofferson-WhyMe,KarlJenkins-Charge!
KrisKristofferson-WhyMe,Leadbelly-WhereDidYouSleepLastNight?
KrisKristofferson-WhyMe,Jazztronik-Phoenix
KrisKristofferson-WhyMe,MattElliott-TheDogBeneathTheSkin
KrisKristofferson-WhyMe,ArcticMonkeys-TheHellcatSpangledShalalala
KrisKristofferson-WhyMe,ThirdDay-MountainOfGod
KrisKristofferson-WhyMe,MatthewWest-TheMotions
KrisKristofferson-WhyMe,AngeloBadalamenti-MulhollandDrive
KrisKristofferson-WhyMe,AngeloBadalamenti-Diner
KrisKristofferson-WhyMe,JunkieXL-EvenInThisMoment
KrisKristofferson-WhyMe,DoloresO'Riordan-AveMaria
KrisKristofferson-WhyMe,HarryGregson-Williams-ANarniaLullaby
KrisKristofferson-WhyMe,AntiPopConsortium-FluorescentBlack
KrisKristofferson-WhyMe,SisterRosettaTharpe-DownByTheRiverside
KrisKristofferson-WhyMe,RootsManuva-EvilRabbit
KrisKristofferson-WhyMe,DavidByrne-Inexorable
KrisKristofferson-WhyMe,SkylarGrey-Invisible
GramParsons-CryOneMoreTime,HankWilliams-MySweetLoveAin'tAround
GramParsons-CryOneMoreTime,TheKing'sSingers-Can'tBuyMeLove
GramParsons-CryOneMoreTime,CharlieRich-LifeHasItsLittleUpsAndDowns
GramParsons-CryOneMoreTime,RosanneCash-TheWheel
GramParsons-CryOneMoreTime,SteveEarle-FearlessHeart
GramParsons-CryOneMoreTime,JohnGorka-WhereTheBottlesBreak
GramParsons-CryOneMoreTime,MerleHaggard-It'sNotLove(ButIt'sNotBad)
GramParsons-CryOneMoreTime,TheHouseOfLove-Ray
GramParsons-CryOneMoreTime,BlindLemonJefferson-RamblerBlues
GramParsons-CryOneMoreTime,JuniorKelly-StandingFirm
GramParsons-CryOneMoreTime,MethodMan-PerfectWorld
GramParsons-CryOneMoreTime,NovembersDoom-Awaken
GramParsons-CryOneMoreTime,Nonchalant-5O'Clock
GramParsons-CryOneMoreTime,Ol'DirtyBastard-Gettin'High
GramParsons-CryOneMoreTime,TheDivineComedy-ThereIsALightThatNeverGoesOut
GramParsons-CryOneMoreTime,GillianWelch-RockOfAges
GramParsons-CryOneMoreTime,Everlast-SoLong
GramParsons-CryOneMoreTime,ProdigyOfMobbDeep-Don'tBeAFollower
GramParsons-CryOneMoreTime,RayPrice-HeartachesByTheNumber
GramParsons-CryOneMoreTime,TheBlindBoysOfAlabama-RunOnForALongTime
GramParsons-CryOneMoreTime,JohnCale-GhostStory
GramParsons-CryOneMoreTime,TheLangleySchoolsMusicProject-GodOnlyKnows
GramParsons-CryOneMoreTime,PattyLoveless-RiseUpLazarus
GramParsons-CryOneMoreTime,SisterRosettaTharpe-That'sAll
GramParsons-CryOneMoreTime,Hooverphonic-TheLastSupper
GramParsons-CryOneMoreTime,DaynaKurtz-FredAstaire
GramParsons-CryOneMoreTime,UncleTupelo-WhiskeyBottle
GramParsons-CryOneMoreTime,MississippiFredMcDowell-61Highway
GramParsons-CryOneMoreTime,GillianWelch-OneMonkey
GramParsons-CryOneMoreTime,HowardShore-CirithUngol
GramParsons-CryOneMoreTime,LorettaLynn-Women'sPrison
GramParsons-CryOneMoreTime,JorgeBen-CassiusMarcellusClay
GramParsons-CryOneMoreTime,TommyMcCook-TheSaint
GramParsons-CryOneMoreTime,ShannonNoll-NewBeginning
GramParsons-CryOneMoreTime,BuffySainte-Marie-EyesOfAmber
GramParsons-CryOneMoreTime,NickelCreek-BestOfLuck
GramParsons-CryOneMoreTime,JeffreyFoucault-CrossOfFlowers
GramParsons-CryOneMoreTime,Eminem-Stan
GramParsons-CryOneMoreTime,PorterWagoner-TheRubberRoom
GramParsons-CryOneMoreTime,BenHarper-MoreThanSorry
GramParsons-CryOneMoreTime,ArthurRussell-HomeAwayFromHome
GramParsons-CryOneMoreTime,TheOnlyOnes-SomeoneWhoCares
GramParsons-CryOneMoreTime,RascalFlatts-Holes
GramParsons-CryOneMoreTime,Goldspot-TimeBomb
GramParsons-CryOneMoreTime,AnimalCollective-College
GramParsons-CryOneMoreTime,MobbDeep-TheStartOfYourEnding(41stSide)
GramParsons-CryOneMoreTime,LeAnnRimes-WhatICannotChange
GramParsons-CryOneMoreTime,StephenSondheim-OpeningTitle
GramParsons-CryOneMoreTime,TheEverybodyfields-LonelyAnywhere
GramParsons-CryOneMoreTime,TheEverybodyfields-BeMiner
GramParsons-CryOneMoreTime,ThePriests-PanisAngelicus
GramParsons-CryOneMoreTime,BlindLemonJefferson-SeeThatMyGraveIsKeptClean
GramParsons-CryOneMoreTime,SisterRosettaTharpe-RockMe
GramParsons-CryOneMoreTime,JohnBarry-TheDeathOfTimmons
GramParsons-CryOneMoreTime,ThePriests-Benedictus
GramParsons-CryOneMoreTime,MississippiSheiks-I'veGotBloodInMyEyesForYou
GramParsons-CryOneMoreTime,HoratioLeeJenkins-DrunkerThanSatan
GramParsons-CryOneMoreTime,Afi-SilverAndCold
GramParsons-CryOneMoreTime,LosLobos-PhoneCall
GramParsons-CryOneMoreTime,StoryOne-ComingUp
GramParsons-CryOneMoreTime,IanGillan-Gethsemane(IOnlyWantToSay)
GramParsons-CryOneMoreTime,LilyHolbrook-WelcomeToTheSlaughterhouse
GramParsons-CryOneMoreTime,Shinedown-WhatAShame
GramParsons-CryOneMoreTime,Innerpartysystem-WhatWeWillNeverKnow
GramParsons-CryOneMoreTime,ChiddyBang-NothingOnWe
GramParsons-CryOneMoreTime,SageFrancis-TheBestOfTimes
GramParsons-CryOneMoreTime,KarlJenkins-Charge!
GramParsons-CryOneMoreTime,Leadbelly-WhereDidYouSleepLastNight?
GramParsons-CryOneMoreTime,Jazztronik-Phoenix
GramParsons-CryOneMoreTime,MattElliott-TheDogBeneathTheSkin
GramParsons-CryOneMoreTime,Tyler-TheCreator
GramParsons-CryOneMoreTime,ArcticMonkeys-TheHellcatSpangledShalalala
GramParsons-CryOneMoreTime,ViktorVaughn-Lickupon
GramParsons-CryOneMoreTime,ThirdDay-MountainOfGod
GramParsons-CryOneMoreTime,MatthewWest-TheMotions
GramParsons-CryOneMoreTime,AngeloBadalamenti-MulhollandDrive
GramParsons-CryOneMoreTime,AngeloBadalamenti-Diner
GramParsons-CryOneMoreTime,JunkieXL-EvenInThisMoment
GramParsons-CryOneMoreTime,DoloresO'Riordan-AveMaria
GramParsons-CryOneMoreTime,Wu-TangClan-DuckSeazon
GramParsons-CryOneMoreTime,CellaDwellas-MedinaStyle
GramParsons-CryOneMoreTime,HarryGregson-Williams-ANarniaLullaby
GramParsons-CryOneMoreTime,Flobots-Combat
GramParsons-CryOneMoreTime,AntiPopConsortium-FluorescentBlack
GramParsons-CryOneMoreTime,Doom-Ballskin
GramParsons-CryOneMoreTime,SisterRosettaTharpe-DownByTheRiverside
GramParsons-CryOneMoreTime,MastaAce-Acknowledge
GramParsons-CryOneMoreTime,RootsManuva-EvilRabbit
GramParsons-CryOneMoreTime,MarilynManson-TheSuckForYourSolution
GramParsons-CryOneMoreTime,DavidByrne-Inexorable
GramParsons-CryOneMoreTime,SkylarGrey-Invisible
HankWilliams-MySweetLoveAin'tAround,TheKing'sSingers-Can'tBuyMeLove
HankWilliams-MySweetLoveAin'tAround,CharlieRich-LifeHasItsLittleUpsAndDowns
HankWilliams-MySweetLoveAin'tAround,RosanneCash-TheWheel
HankWilliams-MySweetLoveAin'tAround,SteveEarle-FearlessHeart
HankWilliams-MySweetLoveAin'tAround,JohnGorka-WhereTheBottlesBreak
HankWilliams-MySweetLoveAin'tAround,MerleHaggard-It'sNotLove(ButIt'sNotBad)
HankWilliams-MySweetLoveAin'tAround,TheHouseOfLove-Ray
HankWilliams-MySweetLoveAin'tAround,BlindLemonJefferson-RamblerBlues
HankWilliams-MySweetLoveAin'tAround,MethodMan-PerfectWorld
HankWilliams-MySweetLoveAin'tAround,NovembersDoom-Awaken
HankWilliams-MySweetLoveAin'tAround,Nonchalant-5O'Clock
HankWilliams-MySweetLoveAin'tAround,Ol'DirtyBastard-Gettin'High
HankWilliams-MySweetLoveAin'tAround,TheDivineComedy-ThereIsALightThatNeverGoesOut
HankWilliams-MySweetLoveAin'tAround,Everlast-SoLong
HankWilliams-MySweetLoveAin'tAround,ProdigyOfMobbDeep-Don'tBeAFollower
HankWilliams-MySweetLoveAin'tAround,RayPrice-HeartachesByTheNumber
HankWilliams-MySweetLoveAin'tAround,JohnCale-GhostStory
HankWilliams-MySweetLoveAin'tAround,TheLangleySchoolsMusicProject-GodOnlyKnows
HankWilliams-MySweetLoveAin'tAround,Hooverphonic-TheLastSupper
HankWilliams-MySweetLoveAin'tAround,DaynaKurtz-FredAstaire
HankWilliams-MySweetLoveAin'tAround,UncleTupelo-WhiskeyBottle
HankWilliams-MySweetLoveAin'tAround,MississippiFredMcDowell-61Highway
HankWilliams-MySweetLoveAin'tAround,GillianWelch-OneMonkey
HankWilliams-MySweetLoveAin'tAround,HowardShore-CirithUngol
HankWilliams-MySweetLoveAin'tAround,JorgeBen-CassiusMarcellusClay
HankWilliams-MySweetLoveAin'tAround,ShannonNoll-NewBeginning
HankWilliams-MySweetLoveAin'tAround,BuffySainte-Marie-EyesOfAmber
HankWilliams-MySweetLoveAin'tAround,NickelCreek-BestOfLuck
HankWilliams-MySweetLoveAin'tAround,JeffreyFoucault-CrossOfFlowers
HankWilliams-MySweetLoveAin'tAround,Eminem-Stan
HankWilliams-MySweetLoveAin'tAround,PorterWagoner-TheRubberRoom
HankWilliams-MySweetLoveAin'tAround,BenHarper-MoreThanSorry
HankWilliams-MySweetLoveAin'tAround,ArthurRussell-HomeAwayFromHome
HankWilliams-MySweetLoveAin'tAround,TheOnlyOnes-SomeoneWhoCares
HankWilliams-MySweetLoveAin'tAround,RascalFlatts-Holes
HankWilliams-MySweetLoveAin'tAround,Goldspot-TimeBomb
HankWilliams-MySweetLoveAin'tAround,AnimalCollective-College
HankWilliams-MySweetLoveAin'tAround,MobbDeep-TheStartOfYourEnding(41stSide)
HankWilliams-MySweetLoveAin'tAround,LeAnnRimes-WhatICannotChange
HankWilliams-MySweetLoveAin'tAround,StephenSondheim-OpeningTitle
HankWilliams-MySweetLoveAin'tAround,TheEverybodyfields-LonelyAnywhere
HankWilliams-MySweetLoveAin'tAround,TheEverybodyfields-BeMiner
HankWilliams-MySweetLoveAin'tAround,JohnBarry-TheDeathOfTimmons
HankWilliams-MySweetLoveAin'tAround,MississippiSheiks-I'veGotBloodInMyEyesForYou
HankWilliams-MySweetLoveAin'tAround,Afi-SilverAndCold
HankWilliams-MySweetLoveAin'tAround,LosLobos-PhoneCall
HankWilliams-MySweetLoveAin'tAround,StoryOne-ComingUp
HankWilliams-MySweetLoveAin'tAround,IanGillan-Gethsemane(IOnlyWantToSay)
HankWilliams-MySweetLoveAin'tAround,LilyHolbrook-WelcomeToTheSlaughterhouse
HankWilliams-MySweetLoveAin'tAround,Shinedown-WhatAShame
HankWilliams-MySweetLoveAin'tAround,Innerpartysystem-WhatWeWillNeverKnow
HankWilliams-MySweetLoveAin'tAround,ChiddyBang-NothingOnWe
HankWilliams-MySweetLoveAin'tAround,SageFrancis-TheBestOfTimes
HankWilliams-MySweetLoveAin'tAround,Leadbelly-WhereDidYouSleepLastNight?
HankWilliams-MySweetLoveAin'tAround,Jazztronik-Phoenix
HankWilliams-MySweetLoveAin'tAround,MattElliott-TheDogBeneathTheSkin
HankWilliams-MySweetLoveAin'tAround,Tyler-TheCreator
HankWilliams-MySweetLoveAin'tAround,ArcticMonkeys-TheHellcatSpangledShalalala
HankWilliams-MySweetLoveAin'tAround,ViktorVaughn-Lickupon
HankWilliams-MySweetLoveAin'tAround,ThirdDay-MountainOfGod
HankWilliams-MySweetLoveAin'tAround,MatthewWest-TheMotions
HankWilliams-MySweetLoveAin'tAround,AngeloBadalamenti-MulhollandDrive
HankWilliams-MySweetLoveAin'tAround,AngeloBadalamenti-Diner
HankWilliams-MySweetLoveAin'tAround,JunkieXL-EvenInThisMoment
HankWilliams-MySweetLoveAin'tAround,DoloresO'Riordan-AveMaria
HankWilliams-MySweetLoveAin'tAround,Wu-TangClan-DuckSeazon
HankWilliams-MySweetLoveAin'tAround,CellaDwellas-MedinaStyle
HankWilliams-MySweetLoveAin'tAround,HarryGregson-Williams-ANarniaLullaby
HankWilliams-MySweetLoveAin'tAround,Flobots-Combat
HankWilliams-MySweetLoveAin'tAround,AntiPopConsortium-FluorescentBlack
HankWilliams-MySweetLoveAin'tAround,Doom-Ballskin
HankWilliams-MySweetLoveAin'tAround,SisterRosettaTharpe-DownByTheRiverside
HankWilliams-MySweetLoveAin'tAround,MastaAce-Acknowledge
HankWilliams-MySweetLoveAin'tAround,RootsManuva-EvilRabbit
HankWilliams-MySweetLoveAin'tAround,MarilynManson-TheSuckForYourSolution
HankWilliams-MySweetLoveAin'tAround,DavidByrne-Inexorable
HankWilliams-MySweetLoveAin'tAround,SkylarGrey-Invisible
HankWilliams-MySweetLoveAin'tAround,SacredSpirit-Dawa
HankWilliams-MySweetLoveAin'tAround,TheBachelors-Diane
HankWilliams-MySweetLoveAin'tAround,SamanthaSang-Emotion
HankWilliams-MySweetLoveAin'tAround,BobBrookmeyer-AFelicidade
HankWilliams-MySweetLoveAin'tAround,TheRoyalPhilharmonicOrchestra-HookedOnRomance
HankWilliams-MySweetLoveAin'tAround,JohnTesh-HalcyonDays
HankWilliams-MySweetLoveAin'tAround,GaleGarnett-We'llSingInTheSunshine
HankWilliams-MySweetLoveAin'tAround,JimReeves-DistantDrums
HankWilliams-MySweetLoveAin'tAround,TheOut-Islanders-MoonMist
HankWilliams-MySweetLoveAin'tAround,Interference-Gold
HankWilliams-MySweetLoveAin'tAround,KarlMaddison-FriendshipHighway
TheKing'sSingers-Can'tBuyMeLove,CharlieRich-LifeHasItsLittleUpsAndDowns
TheKing'sSingers-Can'tBuyMeLove,RosanneCash-TheWheel
TheKing'sSingers-Can'tBuyMeLove,SteveEarle-FearlessHeart
TheKing'sSingers-Can'tBuyMeLove,JohnGorka-WhereTheBottlesBreak
TheKing'sSingers-Can'tBuyMeLove,MerleHaggard-It'sNotLove(ButIt'sNotBad)
TheKing'sSingers-Can'tBuyMeLove,TheHouseOfLove-Ray
TheKing'sSingers-Can'tBuyMeLove,BlindLemonJefferson-RamblerBlues
TheKing'sSingers-Can'tBuyMeLove,MethodMan-PerfectWorld
